"","DAY","MONTH","YEAR","HOUR","MINUTE","Date","Time","LATITUDE.x","LONGITUDE.x","Type","Depth","Depth.Error","Depth.Seismic.Stations","Magnitude","Magnitude.Type","Magnitude.Error","Magnitude.Seismic.Stations","Azimuthal.Gap","Horizontal.Distance","Horizontal.Error","Root.Mean.Square","ID","Source","Location.Source","Magnitude.Source","Status","I_D","FLAG_TSUNAMI","SECOND","FOCAL_DEPTH","EQ_PRIMARY","EQ_MAG_MW","EQ_MAG_MS","EQ_MAG_MB","EQ_MAG_ML","EQ_MAG_MFA","EQ_MAG_UNK","INTENSITY","COUNTRY","STATE","LOCATION_NAME","LATITUDE.y","LONGITUDE.y","REGION_CODE","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","HOUSES_DAMAGED","HOUSES_DAMAGED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION","TOTAL_HOUSES_DAMAGED","TOTAL_HOUSES_DAMAGED_DESCRIPTION","diffLat","diffLong"
"11","1","10","2004","8","1","10/1/2004","8:01:01",11.989,-86.52,"Earthquake",87.3,NA,294,5.6,"MWC",NA,NA,43.2,NA,NA,1.16,"USP000D5G6","US","US","HRV","Reviewed",5825,"",1.3,87,5.6,5.6,NA,5.1,NA,NA,NA,NA,"NICARAGUA","","NICARAGUA:  CHINANDEGA, LEON",11.989,-86.52,100,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0
"12","1","10","2009","1","52","10/1/2009","1:52:27",-2.482,101.524,"Earthquake",9,NA,417,6.6,"MWC",NA,NA,30.1,NA,NA,1.15,"USP000H24C","US","US","US","Reviewed",8552,"",27.3,10,6.6,6.6,6.7,5.9,NA,NA,NA,NA,"INDONESIA","","INDONESIA:  SUMATRA:  SOUTHERN:  KERINCI",-2.515,101.501,170,3,1,NA,NA,NA,NA,10,3,NA,3,NA,3,3,1,NA,NA,NA,NA,10,3,NA,3,NA,NA,0.0329999999999999,0.0229999999999961
"13","1","11","1975","1","17","11/1/1975","1:17:34",13.843,144.754,"Earthquake",113,NA,NA,6.1,"MB",NA,NA,NA,NA,NA,NA,"USP0000DCW","US","US","US","Reviewed",7202,"",33.9,113,6.1,NA,NA,6.1,NA,NA,NA,7,"USA TERRITORY","GU","GUAM",13.843,144.754,170,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"14","1","11","1978","19","48","11/1/1978","19:48:28",39.349,72.615,"Earthquake",40,NA,NA,6.8,"MS",NA,NA,NA,NA,NA,NA,"USP0000X7G","US","US","US","Reviewed",4818,"",28,7,6.8,NA,6.8,6.2,NA,NA,6.8,9,"UZBEKISTAN","","UZBEKISTAN:   ANDIZHAN; TAJIKISTAN:  DUSHANBE",39.35,72.61,40,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00100000000000477,0.00499999999999545
"15","1","11","1989","18","25","11/1/1989","18:25:35",39.837,142.76,"Earthquake",28.6,NA,NA,7.4,"MW",NA,NA,NA,NA,NA,1.1,"USP00041KG","US","US","HRV","Reviewed",5217,"Tsu",34.9,29,7.4,NA,7.4,6.4,NA,NA,NA,6,"JAPAN","","JAPAN:  HONSHU: N, AOMORI, MISAWA",39.837,142.76,30,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"16","1","11","1995","0","35","11/1/1995","0:35:33",-28.906,-71.417,"Earthquake",19.9,NA,NA,6.7,"MW",NA,NA,NA,NA,NA,1.1,"USP000762S","US","US","HRV","Reviewed",6606,"Tsu",32.7,20,6.7,6.7,6.4,6.3,NA,NA,NA,NA,"CHILE","","CHILE:  NEAR CENTRAL COAST",-28.906,-71.417,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"17","1","11","2011","0","21","11/1/2011","0:21:28",43.648,82.437,"Earthquake",28,NA,512,5.6,"MWW",NA,NA,16.1,NA,NA,0.78,"USP000JA68","US","US","US","Reviewed",9849,"",28,28,5.6,5.6,5.4,6,NA,NA,NA,NA,"CHINA","","CHINA:  XINJIANG PROVINCE",43.648,82.437,40,NA,NA,NA,NA,NA,NA,10.5,3,2453,4,NA,3,NA,NA,NA,NA,NA,NA,10.5,3,2453,2,NA,3,0,0
"18","1","12","2003","1","38","12/1/2003","1:38:32",42.905,80.515,"Earthquake",10,NA,502,6,"MWC",NA,NA,29.8,NA,NA,1.05,"USP000CE8K","US","US","HRV","Reviewed",5738,"",31.9,10,6,6,5.9,6,NA,NA,NA,NA,"CHINA","","CHINA:  XINJIANG:  ZHAOSU",42.905,80.515,40,11,1,NA,NA,47,1,NA,3,769,3,NA,NA,11,1,NA,NA,47,1,NA,3,769,3,NA,NA,0,0
"19","1","12","2006","14","1","12/1/2006","14:01:44",-8.261,118.753,"Earthquake",19,NA,205,6.3,"MWC",NA,NA,41.6,NA,NA,1.17,"USP000EZ9Y","US","US","GCMT","Reviewed",7420,"",47.5,43,6.3,6.3,6,5.9,NA,NA,NA,NA,"INDONESIA","","INDONESIA:  SUMABAWA:  BIMA",-8.251,118.777,170,1,1,NA,NA,14,1,NA,1,20,1,NA,NA,1,1,NA,NA,14,1,NA,1,20,1,NA,NA,-0.00999999999999979,-0.0240000000000009
"20","1","12","2016","22","40","12/1/2016","22:40:27",-15.3122,-70.827,"Earthquake",12,1.7,NA,6.2,"MWW",NA,NA,43,2.455,6.2,1.11,"US10007E55","US","US","US","Reviewed",10232,"",15,10,6.2,6.2,NA,NA,NA,NA,NA,NA,"PERU","","PERU:  PUNO, LAMPA",-15.294,-70.823,160,1,1,NA,NA,17,1,NA,1,8,1,40,1,1,1,NA,NA,17,1,NA,1,8,1,40,1,-0.0182000000000002,-0.00400000000000489
