"","DAY","MONTH","YEAR","HOUR","MINUTE","Date","Time","LATITUDE.x","LONGITUDE.x","Type","Depth","Depth.Error","Depth.Seismic.Stations","Magnitude","Magnitude.Type","Magnitude.Error","Magnitude.Seismic.Stations","Azimuthal.Gap","Horizontal.Distance","Horizontal.Error","Root.Mean.Square","ID","Source","Location.Source","Magnitude.Source","Status","I_D","FLAG_TSUNAMI","SECOND","FOCAL_DEPTH","EQ_PRIMARY","EQ_MAG_MW","EQ_MAG_MS","EQ_MAG_MB","EQ_MAG_ML","EQ_MAG_MFA","EQ_MAG_UNK","INTENSITY","COUNTRY","STATE","LOCATION_NAME","LATITUDE.y","LONGITUDE.y","REGION_CODE","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","HOUSES_DAMAGED","HOUSES_DAMAGED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION","TOTAL_HOUSES_DAMAGED","TOTAL_HOUSES_DAMAGED_DESCRIPTION","diffLat","diffLong"
"143","11","8","1965","22","31","8/11/1965","22:31:51",-15.861,167.092,"Earthquake",30,NA,NA,7.6,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM854473","ISCGEM","ISCGEM","ISCGEM","Automatic",6416,"Tsu",45.9,13,7.6,7.6,7.3,NA,NA,NA,NA,NA,"VANUATU","","VANUATU ISLANDS",-15.8,167.2,170,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,-0.0609999999999999,-0.107999999999976
"144","11","8","1969","21","26","8/11/1969","21:26:36",43.552,147.987,"Earthquake",25,NA,NA,6.2,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM805428","ISCGEM","ISCGEM","ISCGEM","Automatic",4494,"Tsu",36,30,8.2,8.2,7.8,NA,NA,NA,8.2,9,"RUSSIA","","RUSSIA:  SHIKOTAN ISLAND, KURILSKIYE",43.6,147.9,50,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,-0.0480000000000018,0.0869999999999891
"145","11","8","1970","10","22","8/11/1970","10:22:25",-14.057,166.657,"Earthquake",45,NA,NA,6.9,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM792753","ISCGEM","ISCGEM","ISCGEM","Automatic",9962,"",23.8,39,7.5,7.5,NA,NA,NA,NA,NA,NA,"SOLOMON ISLANDS","","SOLOMON ISLANDS",-14.095,166.57,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0380000000000003,0.0870000000000175
"146","11","8","1988","16","4","8/11/1988","16:04:46",29.974,51.679,"Earthquake",33,NA,NA,6.1,"MW",NA,NA,NA,NA,NA,1.3,"USP0003JW2","US","US","HRV","Reviewed",5166,"",45.6,33,6.1,NA,6.1,5.7,NA,NA,NA,NA,"IRAN","","IRAN:  S, MAMASANI, BUSHEHR, NURABAD",29.974,51.679,140,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"147","11","8","1992","15","14","8/11/1992","15:14:55",32.536,141.641,"Earthquake",15.5,NA,NA,6.4,"MWB",NA,NA,NA,NA,NA,1.1,"USP0005CA9","US","US","US","Reviewed",9818,"Tsu",55.1,16,6.3,NA,6.3,5.8,NA,NA,NA,NA,"JAPAN","","JAPAN:  HONSHU:  S",32.536,141.641,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"148","11","8","2003","0","19","8/11/2003","0:19:09",1.142,128.152,"Earthquake",10,NA,185,6,"MWB",NA,NA,67.8,NA,NA,1.11,"USP000C4KV","US","US","US","Reviewed",5713,"",9.2,10,6,6,5.6,5.7,NA,NA,NA,NA,"INDONESIA","","INDONESIA:  HALMAHERA:  WASILE",1.142,128.152,170,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,200,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,200,3,0,0
"149","11","8","2004","15","48","8/11/2004","15:48:27",38.377,39.261,"Earthquake",7.4,4.9,487,5.7,"MWC",NA,NA,58,NA,NA,1.1,"USP000D1YJ","US","US","HRV","Reviewed",5797,"",26.8,7,5.7,5.7,5.5,5.3,NA,NA,NA,NA,"TURKEY","","TURKEY:  ELAZIG, SIVRICE",38.377,39.261,140,1,1,NA,NA,11,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,11,1,NA,1,NA,NA,NA,NA,0,0
"150","11","8","2011","10","6","8/11/2011","10:06:29",39.955,77.028,"Earthquake",10,NA,239,5.6,"MWW",NA,NA,22.2,NA,NA,0.95,"USP000J6A4","US","US","US","Reviewed",9872,"",29.3,10,5.7,5.7,5.3,5.3,NA,NA,NA,NA,"CHINA","","CHINA:  XINJIANG PROVINCE:  SOUTHERN, KASHI",39.955,77.028,40,NA,NA,NA,NA,21,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,21,1,NA,2,NA,NA,NA,NA,0,0
"151","11","8","2012","12","23","8/11/2012","12:23:18",38.329,46.826,"Earthquake",11,NA,510,6.4,"MWW",NA,NA,21.2,NA,NA,1.23,"USP000JQ5P","US","US","US","Reviewed",9928,"",18.1,11,6.5,6.5,6.7,6.2,NA,NA,NA,NA,"IRAN","","IRAN:  AHAR, HARIS, VARZAGAN",38.329,46.826,140,306,3,NA,NA,3000,4,NA,4,NA,4,NA,4,306,3,NA,NA,3000,4,NA,4,NA,4,NA,4,0,0
"152","11","9","1976","16","31","9/11/1976","16:31:12",46.28,13.157,"Earthquake",16,NA,NA,5.5,"MS",NA,NA,NA,NA,NA,NA,"USP0000JBC","US","US","US","Reviewed",4742,"",12,16,5.5,NA,5.5,5.2,NA,NA,NA,7,"ITALY","","ITALY:  NORTHEASTERN",46.28,13.157,130,5,1,NA,NA,NA,2,NA,2,NA,NA,NA,NA,5,1,NA,NA,NA,2,NA,2,NA,NA,NA,NA,0,0
"153","11","9","1992","3","57","9/11/1992","3:57:27",-6.087,26.651,"Earthquake",10.8,NA,NA,6.4,"MWB",NA,NA,NA,NA,NA,1,"USP0005DUR","US","US","US","Reviewed",5338,"",26.5,11,7,NA,7,6.7,NA,NA,NA,NA,"CONGO","","CONGO:  KABALO",-6.087,26.651,10,8,1,NA,NA,37,1,NA,1,NA,2,NA,NA,8,1,NA,NA,37,1,NA,1,NA,2,NA,NA,0,0
"154","11","9","2008","0","20","9/11/2008","0:20:51",41.892,143.754,"Earthquake",25,NA,500,6.8,"MWC",NA,NA,22.2,NA,NA,1.08,"USP000GGU8","US","US","US","Reviewed",8134,"Tsu",50.9,25,6.8,6.8,7,6.1,NA,NA,NA,NA,"JAPAN","","JAPAN:  HOKKAIDO",41.892,143.754,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"155","12","1","1982","5","48","1/12/1982","5:48:18",13.158,-87.589,"Earthquake",6.4,1.7,NA,6,"MS",NA,16,NA,NA,NA,1.2,"USP0001J01","US","US","US","Reviewed",4937,"",17.6,6,6,NA,6,5.8,NA,NA,NA,NA,"HONDURAS","","HONDURAS:  AMPALA, MASAYA",13.158,-87.589,100,NA,NA,NA,NA,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,NA,NA,0,0
"156","12","1","2010","21","53","1/12/2010","21:53:10",18.443,-72.571,"Earthquake",13,NA,500,7,"MWC",NA,NA,22.7,NA,NA,0.97,"USP000H60H","US","US","US","Reviewed",8732,"Tsu",10,13,7,7,7.3,6.8,NA,NA,NA,NA,"HAITI","","HAITI:  PORT-AU-PRINCE",18.457,-72.533,90,316000,4,NA,NA,30000,4,8000,4,97294,4,188383,4,316000,4,NA,NA,300000,4,8000,4,97294,4,188383,4,-0.0139999999999993,-0.0379999999999967
"157","12","10","1979","10","25","10/12/1979","10:25:22",-46.675,165.707,"Earthquake",33,NA,NA,7.4,"MS",NA,NA,NA,NA,NA,NA,"USP00013CK","US","US","US","Reviewed",4846,"",22.3,33,7.5,NA,7.5,6.1,NA,NA,NA,5,"NEW ZEALAND","","NEW ZEALAND:  W OF NORTH ISLAND",-46.675,165.707,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"158","12","10","1987","13","57","10/12/1987","13:57:05",-7.288,154.371,"Earthquake",24.7,4.8,NA,7,"MW",NA,NA,NA,NA,NA,1.1,"USP000396S","US","US","HRV","Reviewed",6471,"Tsu",4.7,25,6.8,NA,6.8,6.3,NA,NA,NA,NA,"PAPUA NEW GUINEA","","PAPUA NEW GUINEA:  SOLOMON SEA",-7.288,154.371,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"159","12","10","1992","13","9","10/12/1992","13:09:56",29.778,31.144,"Earthquake",21.5,NA,NA,5.8,"MW",NA,NA,NA,NA,NA,1.2,"USP0005F89","US","US","HRV","Reviewed",5339,"",55.5,22,5.3,NA,5.3,5.9,NA,NA,NA,NA,"EGYPT","","EGYPT:  CAIRO",29.778,31.144,15,545,3,NA,NA,6512,4,1200,4,9350,4,9350,4,545,3,NA,NA,6512,4,1200,4,9350,4,NA,NA,0,0
"160","12","10","2001","15","2","10/12/2001","15:02:17",12.686,144.98,"Earthquake",37,NA,482,7,"MWC",NA,NA,NA,NA,NA,1.15,"USP000AQSU","US","US","HRV","Reviewed",5609,"",16.8,37,7,7,7.3,6.7,NA,NA,NA,8,"USA TERRITORY","GU","GUAM",12.686,144.98,170,NA,NA,NA,NA,1,1,NA,2,NA,3,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,3,NA,NA,0,0
"161","12","10","2001","5","2","10/12/2001","5:02:34",52.63,-132.2,"Earthquake",20,NA,432,6.1,"MWC",NA,NA,NA,NA,NA,NA,"USP000AQRG","US","PGC","HRV","Reviewed",10203,"Tsu",34,20,6.1,6.1,5.8,5.6,NA,NA,NA,NA,"CANADA","BC","CANADA:  QUEEN CHARLOTTE ISLANDS",52.63,-132.2,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"162","12","10","2013","13","11","10/12/2013","13:11:53",35.5142,23.2523,"Earthquake",40,1.9,NA,6.6,"MWW",NA,NA,40,1.984,NA,1.21,"USB000KBN7","US","US","US","Reviewed",10049,"",52,36,6.4,6.4,NA,NA,NA,NA,NA,NA,"GREECE","","GREECE:  CRETE:  CHANIA",35.487,23.261,130,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,0.0272000000000006,-0.00869999999999749
"163","12","11","1988","3","34","11/12/1988","3:34:49",18.068,-76.597,"Earthquake",16.1,NA,NA,5.5,"MW",NA,NA,NA,NA,NA,1.1,"USP0003NTG","US","US","HRV","Reviewed",5180,"",48.6,16,4.7,NA,4.7,5.4,NA,NA,NA,6,"JAMAICA","","JAMAICA:  ST ANDREW, JACKS HILL",18.068,-76.597,90,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0
"164","12","11","1996","16","59","11/12/1996","16:59:44",-14.993,-75.675,"Earthquake",33,NA,NA,7.7,"MWC",NA,NA,NA,NA,NA,1.11,"USP0007SWP","US","US","HRV","Reviewed",5442,"Tsu",44,33,7.7,7.7,7.3,6.5,NA,NA,NA,8,"PERU","","PERU:  CHINCHA ALTA, ACARI, NAZCA, MARCONA",-14.993,-75.675,160,14,1,NA,NA,560,3,NA,4,NA,NA,4000,4,14,1,NA,NA,560,3,NA,4,NA,NA,4000,4,0,0
"165","12","11","1999","16","57","11/12/1999","16:57:20",40.758,31.161,"Earthquake",10,NA,NA,7.2,"MWC",NA,NA,NA,NA,NA,1.11,"USP0009HEV","US","US","HRV","Reviewed",5543,"",19.5,10,7.2,7.2,7.5,6.3,NA,NA,NA,9,"TURKEY","","TURKEY:  BOLU-DUZCE-KAYNASLI, ADAPAZARI, ZONGULDAK",40.758,31.161,140,894,3,NA,NA,4948,4,1000,4,NA,NA,NA,NA,894,3,NA,NA,4948,4,1000,4,NA,NA,NA,NA,0,0
"166","12","12","1979","7","59","12/12/1979","7:59:03",1.598,-79.358,"Earthquake",24,NA,NA,7.7,"MS",NA,NA,NA,NA,NA,NA,"USP00014EY","US","US","US","Reviewed",4863,"Tsu",3.3,33,7.7,NA,7.7,6.4,NA,NA,NA,9,"COLOMBIA","","COLOMBIA: OFF SHORE, PACIFIC OCEAN",1.598,-79.358,160,600,3,NA,NA,20000,4,8,3,10000,4,NA,NA,600,3,NA,NA,20000,4,8,3,10000,4,NA,NA,0,0
"167","12","12","1992","5","29","12/12/1992","5:29:26",-8.48,121.896,"Earthquake",27.7,NA,NA,7.8,"MW",NA,NA,NA,NA,NA,1.4,"USP0005J5A","US","US","HRV","Reviewed",5343,"Tsu",26.3,28,7.8,7.8,7.5,6.5,NA,NA,NA,NA,"INDONESIA","","INDONESIA:  FLORES REGION, MAUMERE, BABI",-8.48,121.896,60,1000,4,NA,NA,500,3,100,4,31785,4,NA,NA,2500,4,NA,NA,2103,4,100,4,31785,4,NA,NA,0,0
"168","12","12","2005","21","47","12/12/2005","21:47:46",36.357,71.093,"Earthquake",224.6,NA,529,6.5,"MWB",NA,NA,20.5,NA,NA,0.81,"USP000E61S","US","US","US","Reviewed",6831,"",46,225,6.5,6.5,NA,6,NA,NA,NA,NA,"AFGHANISTAN","","AFGHANISTAN:  TILI, JALALABAD, BADAKHSHAN",36.357,71.093,40,5,1,NA,NA,1,1,NA,1,100,2,100,2,5,1,NA,NA,1,1,NA,1,100,2,NA,NA,0,0
"169","12","2","1968","5","44","2/12/1968","5:44:45",-5.42,153.368,"Earthquake",30,NA,NA,7.3,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM826088","ISCGEM","ISCGEM","ISCGEM","Automatic",4427,"",NA,74,7.8,NA,NA,NA,NA,NA,7.8,8,"PAPUA NEW GUINEA","","PAPUA NEW GUINEA:  NEW IRELAND",-5.5,153.2,170,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0800000000000001,0.168000000000006
"170","12","2","2014","9","19","2/12/2014","9:19:49",35.9053,82.5864,"Earthquake",10,1.7,NA,6.9,"MWW",NA,NA,18,7.496,NA,0.83,"USC000MNVJ","US","US","US","Reviewed",10073,"",48,10,6.9,6.9,NA,NA,NA,NA,NA,NA,"CHINA","","CHINA:  XINJIANG PROVINCE:  YUTIAN",35.922,82.549,40,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,-0.0167000000000002,0.037399999999991
"171","12","3","1966","16","31","3/12/1966","16:31:20",24.122,122.583,"Earthquake",30,NA,NA,7.5,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM849160","ISCGEM","ISCGEM","ISCGEM","Automatic",4360,"Tsu",21.8,48,8,NA,8,6.1,NA,NA,NA,NA,"TAIWAN","","TAIWAN",24.1,122.6,30,7,1,NA,NA,10,1,NA,2,NA,2,NA,NA,7,1,NA,NA,10,1,NA,2,NA,2,NA,NA,0.0219999999999985,-0.0169999999999959
"172","12","3","1983","1","36","3/12/1983","1:36:36",-4.056,127.924,"Earthquake",16.9,1.6,NA,6.7,"MW",NA,NA,NA,NA,NA,1.1,"USP0001TK3","US","US","NC","Reviewed",6463,"Tsu",35.8,17,6.5,NA,6.5,6,NA,NA,NA,NA,"INDONESIA","","INDONESIA:  BANDA SEA",-4.056,127.924,170,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0
"173","12","3","1993","14","1","3/12/1993","14:01:35",-14.385,-178.252,"Earthquake",9.6,NA,NA,6.4,"MWB",NA,NA,NA,NA,NA,1.2,"USP0005PD4","US","US","US","Reviewed",5349,"",35.4,10,6.4,6.4,6.4,6,NA,NA,NA,NA,"WALLIS AND FUTUNA (FRENCH TERRITORY)","","FUTUNA ISLAND",-14.385,-178.252,170,5,1,NA,NA,201,NA,NA,1,NA,NA,NA,NA,5,1,NA,NA,20,1,NA,1,NA,2,NA,2,0,0
"174","12","3","2005","7","36","3/12/2005","7:36:12",39.44,40.978,"Earthquake",11.1,5.5,458,5.6,"MWB",NA,NA,50.2,NA,NA,1.13,"USP000DJ1Q","US","US","US","Reviewed",5851,"",12.1,11,5.6,5.6,5,5.4,5.7,NA,NA,NA,"TURKEY","","TURKEY:  CAT, KARLIOVA",39.44,40.978,140,NA,NA,NA,NA,16,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,16,1,NA,2,NA,NA,NA,NA,0,0
"175","12","4","1967","4","51","4/12/1967","4:51:42",5.121,96.286,"Earthquake",50,NA,NA,6.7,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM836599","ISCGEM","ISCGEM","ISCGEM","Automatic",4397,"Tsu",50.2,100,6.1,NA,6.1,NA,NA,NA,NA,NA,"INDONESIA","","INDONESIA-MALAYSIA:  N SUMATERA,MALAY PENINSULA",5.5,97.3,170,14,1,NA,NA,NA,NA,NA,3,2000,4,NA,NA,14,1,NA,NA,NA,NA,NA,3,2000,4,NA,NA,-0.379,-1.014
"176","12","4","1971","19","3","4/12/1971","19:03:24",28.363,55.737,"Earthquake",15,NA,NA,6.1,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM785559","ISCGEM","ISCGEM","ISCGEM","Automatic",4561,"",25.9,44,5.9,NA,5.9,6,NA,NA,6,NA,"IRAN","","IRAN:  TAZARJ,BARGHANY,MADANUIYEH,BARAFTAB,DARAGAH",28.3,55.6,140,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0629999999999988,0.137
"177","12","4","1983","12","7","4/12/1983","12:07:55",-4.843,-78.103,"Earthquake",104.2,3.2,NA,7,"MW",NA,NA,NA,NA,NA,1.2,"USP0001UCT","US","US","NC","Reviewed",4975,"",54.5,104,6.5,NA,NA,6.5,NA,NA,NA,NA,"PERU","","PERU:  CHIMBOTE",-4.843,-78.103,160,10,1,NA,NA,NA,NA,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,NA,NA,NA,NA,0,0
"178","12","4","1998","10","55","4/12/1998","10:55:33",46.245,13.652,"Earthquake",10,NA,NA,5.6,"MWC",NA,NA,NA,NA,NA,1.23,"USP0008JYJ","US","US","HRV","Reviewed",5492,"",32.5,10,5.7,5.7,5.7,5.3,NA,NA,NA,8,"AUSTRIA","","AUSTRIA:  ARNOLDSTEIN; SLOVENIA:  BOVEC, KOBARID",46.245,13.652,120,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0
"179","12","4","2002","4","0","4/12/2002","4:00:24",35.959,69.417,"Earthquake",10,NA,361,5.9,"MWC",NA,NA,NA,NA,NA,1.33,"USP000B283","US","US","HRV","Reviewed",5629,"",23.7,10,5.9,5.9,5.9,5.8,NA,NA,NA,NA,"TAJIKISTAN","","TAJIKISTAN; AFGHANISTAN: DO ABI-NAHRIN",39.959,69.417,40,50,1,NA,NA,150,3,NA,2,160,3,160,3,50,1,NA,NA,150,3,NA,NA,160,3,250,3,-4,0
"180","12","4","2013","20","33","4/12/2013","20:33:18",34.369,134.828,"Earthquake",14,NA,535,5.8,"MWW",NA,NA,13,NA,NA,0.77,"USB000G5YG","US","US","US","Reviewed",9980,"",17.5,14,5.8,5.8,5.5,5.7,NA,NA,NA,NA,"JAPAN","","JAPAN",34.369,134.828,30,NA,NA,NA,NA,24,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,24,1,NA,1,NA,NA,NA,1,0,0
"181","12","4","2014","20","14","4/12/2014","20:14:39",-11.2701,162.1481,"Earthquake",22.56,2.8,NA,7.6,"MWW",NA,NA,13,2.828,NA,0.71,"USC000PHX5","US","US","US","Reviewed",10084,"Tsu",39,29,7.6,7.6,NA,NA,NA,NA,NA,NA,"SOLOMON ISLANDS","","SOLOMON ISLANDS",-11.315,162.211,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0449000000000002,-0.0629000000000133
"182","12","5","1971","6","25","5/12/1971","6:25:16",37.585,29.784,"Earthquake",22.5,NA,NA,6.2,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM784339","ISCGEM","ISCGEM","ISCGEM","Automatic",4562,"",13,23,5.9,NA,5.9,5.5,NA,NA,6.3,6,"TURKEY","","TURKEY:  BURDUR",37.6,29.8,140,100,2,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0150000000000006,-0.0160000000000018
"183","12","5","2006","8","16","5/12/2006","8:16:57",-5.575,105.395,"Earthquake",17.2,NA,265,5.5,"MWB",NA,NA,50.4,NA,NA,0.92,"USP000EGXJ","US","US","US","Reviewed",7244,"",56.5,17,5.5,5.5,4.9,5.4,NA,NA,NA,NA,"INDONESIA","","INDONESIA:  SUMATRA:  KALIANDAK",-5.575,105.395,170,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,0,0
"184","12","5","2008","6","28","5/12/2008","6:28:02",31.002,103.322,"Earthquake",19,NA,774,7.9,"MWC",NA,NA,11.3,NA,NA,1.2,"USP000G650","US","US","US","Reviewed",7843,"Tsu",1.5,19,7.9,7.9,8.1,6.9,NA,NA,NA,9,"CHINA","","CHINA:  SICHUAN PROVINCE",31.002,103.322,30,87652,4,NA,NA,374171,4,86000,4,5360000,4,5360000,4,87652,4,NA,NA,374171,4,86000,4,5360000,4,21000000,4,0,0
"185","12","5","2015","7","5","5/12/2015","7:05:20",27.8087,86.0655,"Earthquake",15,1.7,NA,7.3,"MWW",NA,NA,11,0.677,7.4,0.92,"US20002EJL","US","US","US","Reviewed",10141,"",19,15,7.3,7.3,NA,NA,NA,NA,NA,NA,"NEPAL","","NEPAL:   DOLAKHA",27.837,86.077,60,117,3,NA,NA,2800,4,NA,2,NA,2,NA,NA,117,2,NA,NA,2800,4,NA,2,NA,2,NA,NA,-0.028299999999998,-0.0114999999999981
"186","12","6","1968","13","41","6/12/1968","13:41:53",39.503,143.07,"Earthquake",32.1,NA,NA,7,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM820211","ISCGEM","ISCGEM","ISCGEM","Automatic",4443,"Tsu",50.7,44,7.2,NA,7.2,6,NA,NA,NA,NA,"JAPAN","","JAPAN:  SANRIKU",39.4,143.1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103000000000002,-0.0300000000000011
"187","12","6","1974","16","25","6/12/1974","16:25:48",10.563,-63.382,"Earthquake",34,NA,NA,6.1,"MS",NA,NA,NA,NA,NA,NA,"USP00006QZ","US","US","US","Reviewed",4659,"",47.6,34,6.1,NA,6.1,5.7,NA,NA,6.1,NA,"VENEZUELA","","VENEZUELA",10.56,-63.38,160,5,1,NA,NA,NA,NA,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00300000000000011,-0.00199999999999534
"188","12","6","1978","8","14","6/12/1978","8:14:26",38.19,142.028,"Earthquake",44,NA,NA,7.7,"MS",NA,NA,NA,NA,NA,NA,"USP0000V0F","US","US","US","Reviewed",4806,"Tsu",26.4,44,7.7,NA,7.7,6.8,NA,NA,NA,8,"JAPAN","","JAPAN:  SANRIKU",38.19,142.028,30,28,1,NA,NA,10000,4,865,4,NA,4,NA,NA,28,1,NA,NA,10000,4,865,4,NA,4,NA,NA,0,0
"189","12","6","1989","0","4","6/12/1989","0:04:10",21.861,89.763,"Earthquake",5.8,NA,NA,5.8,"MW",NA,NA,NA,NA,NA,0.9,"USP0003W6W","US","US","HRV","Reviewed",5201,"",9.7,6,5.1,NA,5.1,6.1,NA,NA,NA,NA,"BANGLADESH","","BANGLADESH:  BANARIPARA",21.861,89.763,60,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"190","12","6","2010","19","26","6/12/2010","19:26:50",7.881,91.936,"Earthquake",35,NA,514,7.5,"MWC",NA,NA,18.6,NA,NA,1.1,"USP000HDWB","US","US","GCMT","Reviewed",9252,"Tsu",50.4,35,7.5,7.5,7.5,7,NA,NA,NA,6,"INDIA","","INDIA:  LITTLE NICOBAR ISLAND",7.881,91.936,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"191","12","7","1966","18","53","7/12/1966","18:53:11",44.707,37.272,"Earthquake",39.3,NA,NA,5.7,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM845457","ISCGEM","ISCGEM","ISCGEM","Automatic",4371,"Tsu",NA,33,5.5,NA,5.5,NA,NA,NA,NA,6,"RUSSIA","","RUSSIA:  BLACK SEA",44.75,37,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0429999999999993,0.271999999999998
"192","12","7","1983","15","10","7/12/1983","15:10:03",61.031,-147.286,"Earthquake",37,1.3,NA,6.6,"MW",NA,NA,NA,NA,NA,0.9,"USP0001WRG","US","US","NC","Reviewed",4982,"",3.4,37,6.1,NA,6.1,6.1,NA,NA,NA,6,"USA","AK","ALASKA:  PRINCE WILLIAM SOUND",61.031,-147.286,150,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,0,0
"193","12","7","1983","15","10","7/12/1983","15:10:03",61.03,-147.38,"Earthquake",37,NA,NA,6.4,"MWC",NA,NA,NA,NA,NA,NA,"GCMTC071283C","GCMT","GCMT","GCMT","Automatic",4982,"",3.4,37,6.1,NA,6.1,6.1,NA,NA,NA,6,"USA","AK","ALASKA:  PRINCE WILLIAM SOUND",61.031,-147.286,150,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,-0.000999999999997669,-0.0939999999999941
